,year,month,day,hour,minutes,seconds,msec,date,jdb
0,2015,7,17,1,11,56,649,2015-07-17 01:11:56.649,57220.54996121303
1,2015,7,19,23,46,22,542,2015-07-19 23:46:22.542,57223.49053868092
2,2015,7,30,0,19,35,348,2015-07-30 00:19:35.348,57233.51360355934
3,2015,7,31,1,22,39,493,2015-07-31 01:22:39.493,57234.55740154431
4,2015,8,1,0,48,18,624,2015-08-01 00:48:18.624,57235.53354889337
5,2015,8,1,23,58,35,496,2015-08-01 23:58:35.496,57236.49902194957
6,2015,8,3,0,33,2,579,2015-08-03 00:33:02.579,57237.52294651314
7,2015,8,4,0,6,1,51,2015-08-04 00:06:01.051,57238.50417883038
8,2015,8,5,1,19,24,22,2015-08-05 01:19:24.022,57239.55513914049
9,2015,8,5,22,33,11,989,2015-08-05 22:33:11.989,57240.439722094256
10,2015,8,8,0,30,57,454,2015-08-08 00:30:57.454,57242.52149830989
11,2015,8,18,1,3,55,72,2015-08-18 01:03:55.072,57252.54438741193
12,2015,8,18,22,42,43,894,2015-08-18 22:42:43.894,57253.44634135996
13,2015,8,19,22,48,30,529,2015-08-19 22:48:30.529,57254.45035334473
14,2015,8,20,23,16,57,955,2015-08-20 23:16:57.955,57255.47011521684
15,2015,8,22,0,11,24,524,2015-08-22 00:11:24.524,57256.50792273176
16,2015,8,23,1,11,55,520,2015-08-23 01:11:55.520,57257.54994815305
17,2015,8,26,0,27,26,919,2015-08-26 00:27:26.919,57260.51906156031
18,2015,8,27,0,4,15,230,2015-08-27 00:04:15.230,57261.50295405247
19,2015,8,28,0,4,32,938,2015-08-28 00:04:32.938,57262.50315900776
20,2015,8,29,0,50,1,409,2015-08-29 00:50:01.409,57263.53473853189
21,2015,8,30,0,42,37,68,2015-08-30 00:42:37.068,57264.529595690816
22,2015,8,31,0,50,11,353,2015-08-31 00:50:11.353,57265.53485362451
23,2015,9,1,1,8,0,625,2015-09-01 01:08:00.625,57266.547229461205
24,2015,9,2,1,0,44,754,2015-09-02 01:00:44.754,57267.54218465017
25,2015,9,3,0,8,5,373,2015-09-03 00:08:05.373,57268.50561774324
26,2015,9,3,23,40,10,150,2015-09-03 23:40:10.150,57269.48622859337
27,2015,9,5,1,8,21,840,2015-09-05 01:08:21.840,57270.54747499954
28,2015,9,6,1,6,19,85,2015-09-06 01:06:19.085,57271.54605422318
29,2015,9,11,2,9,20,39,2015-09-11 02:09:20.039,57276.58981526692
30,2015,9,11,21,15,49,718,2015-09-11 21:15:49.718,57277.385992105024
